src_id,ra,dec
tile_RA0.353_DECp48.807:3225,0.853942533,48.6355599176
tile_RA10.507_DECp46.796:2757,10.5048009109,46.6721550759
tile_RA10.507_DECp49.796:4637,10.4172676648,49.7671922538
tile_RA104.726_DECp49.813:5435,105.3151734436,49.8486249293
tile_RA111.699_DECp48.700:1122,111.412132526,48.4708354029
tile_RA111.699_DECp48.700:3576,111.8130519466,48.7508721183
tile_RA116.156_DECp47.700:2970,115.9765975614,47.8294565553
tile_RA123.108_DECp48.593:1893,122.9822835516,48.7697095037
tile_RA124.591_DECp47.593:1540,124.7452550425,47.908057407
tile_RA128.570_DECp47.494:412,128.1760800244,47.1287854639
tile_RA128.570_DECp48.494:822,128.7367658744,48.2910938416
tile_RA130.050_DECp45.494:93,130.0390319926,45.0246308121
tile_RA130.050_DECp45.494:915,129.9459433029,45.3680744165
tile_RA130.050_DECp45.494:2117,129.4964963808,45.6300091439
tile_RA130.050_DECp48.494:451,130.2958267418,48.1661350591
tile_RA131.530_DECp46.494:1709,131.7632107569,46.7710516683
tile_RA138.459_DECp45.407:946,138.887290529,45.3075986959
tile_RA138.459_DECp46.407:468,137.9348814419,46.1967320208
tile_RA138.459_DECp47.407:252,138.9671270654,47.068290124
tile_RA141.415_DECp47.407:629,141.4103895541,47.8963624868
tile_RA145.381_DECp46.333:1405,145.3381991366,46.5730191464
tile_RA145.381_DECp46.333:1596,144.8173282714,46.4559471174
tile_RA146.856_DECp46.333:1043,146.3453020205,46.2775299348
tile_RA146.856_DECp46.333:1688,146.3484892317,46.2831463336
tile_RA146.856_DECp49.333:1077,146.8167867256,49.2866313892
tile_RA148.332_DECp47.333:76,148.3918785124,46.8678261914
tile_RA152.296_DECp47.274:941,151.8775720784,47.2042325314
tile_RA152.296_DECp47.274:949,151.8819518147,47.2013368597
tile_RA155.243_DECp46.274:300,155.648647069,46.0161362821
tile_RA155.243_DECp48.274:996,155.0501774907,48.6333395178
tile_RA155.243_DECp49.274:167,154.9881393283,48.8712099664
tile_RA27.764_DECp49.722:985,27.3973779116,49.3486459858
tile_RA3.390_DECp48.807:2735,3.1001178794,48.5875855598
tile_RA303.213_DECp55.457:10452,302.9060961242,55.8221952474
tile_RA314.550_DECp55.561:6981,315.2899484064,55.8010982756
tile_RA316.274_DECp53.561:2901,317.103795453,53.590336388
tile_RA34.866_DECp49.660:4723,35.4087135487,49.5637853474
tile_RA346.990_DECp54.771:3524,346.335553185,54.4459843407
tile_RA46.495_DECp47.583:8584,45.928874597,47.8558340062
tile_RA60.639_DECp49.394:4564,60.6774237856,49.2815476152
tile_RA69.197_DECp47.285:6717,68.8151558492,47.4595766722
tile_RA69.197_DECp48.285:6819,69.3794753627,48.3070967811
tile_RA7.471_DECp48.796:2573,7.7878999305,48.5676519788
tile_RA79.236_DECp47.170:8230,78.531096819,47.2973539171
tile_RA8.989_DECp47.796:3881,8.3340466758,47.7674593966
tile_RA8.989_DECp47.796:4149,9.4620686997,47.8170079195
tile_RA86.256_DECp48.051:4981,85.5968904357,47.9678467078
tile_RA96.249_DECp49.931:2798,95.8436909535,49.8648668788
tile_RA97.742_DECp46.931:5089,98.2678661265,47.1052103126
tile_RA97.742_DECp46.931:5960,98.1541736471,46.9796560495
